,precision,recall,f1-score,support
BENIGN,0.028169014084507043,0.01015228426395939,0.014925373134328358,197.0
Bot,0.0,0.0,0.0,203.0
Brute Force,0.0,0.0,0.0,192.0
DDoS,0.0,0.0,0.0,210.0
DoS,0.0,0.0,0.0,196.0
DrDoS_DNS,0.0,0.0,0.0,190.0
DrDoS_LDAP,0.0,0.0,0.0,188.0
DrDoS_MSSQL,0.0,0.0,0.0,200.0
DrDoS_NTP,0.0,0.0,0.0,211.0
DrDoS_NetBIOS,0.0,0.0,0.0,203.0
DrDoS_SNMP,0.0,0.0,0.0,180.0
DrDoS_SSDP,0.0,0.0,0.0,199.0
DrDoS_UDP,0.0,0.0,0.0,191.0
Infiltration,0.0,0.0,0.0,218.0
LDAP,0.0,0.0,0.0,211.0
MSSQL,0.0,0.0,0.0,192.0
NetBIOS,0.0,0.0,0.0,202.0
Syn,0.039119804400977995,0.2594594594594595,0.0679886685552408,185.0
TFTP,0.09946627850557982,1.0,0.18093556928508384,205.0
UDP,0.0,0.0,0.0,210.0
UDP-lag,0.19672131147540983,0.7188940092165899,0.3089108910891089,217.0
accuracy,0.09785714285714285,0.09785714285714285,0.09785714285714285,0.09785714285714285
macro avg,0.01730840040316546,0.09469075014000042,0.0272743096220839,4200.0
weighted avg,0.01806323125538967,0.09785714285714285,0.02848658506189549,4200.0
