,precision,recall,f1-score,support
BENIGN,0.08695652173913043,0.18269230769230768,0.11782945736434108,208.0
Bot,0.6153846153846154,0.47058823529411764,0.5333333333333333,204.0
Brute Force,0.5289256198347108,0.3137254901960784,0.39384615384615385,204.0
DDoS,0.4606741573033708,0.21465968586387435,0.29285714285714287,191.0
DoS,0.07,0.03365384615384615,0.045454545454545456,208.0
DrDoS_DNS,0.14912280701754385,0.07981220657276995,0.10397553516819572,213.0
DrDoS_LDAP,0.2413793103448276,0.03723404255319149,0.06451612903225806,188.0
DrDoS_MSSQL,0.23129251700680273,0.56353591160221,0.3279742765273312,181.0
DrDoS_NTP,0.5865384615384616,0.5781990521327014,0.5823389021479713,211.0
DrDoS_NetBIOS,0.3858520900321543,0.5970149253731343,0.46875,201.0
DrDoS_SNMP,0.24721189591078066,0.7823529411764706,0.3757062146892655,170.0
DrDoS_SSDP,0.9830508474576272,0.9613259668508287,0.9720670391061452,181.0
DrDoS_UDP,0.9949238578680203,0.9849246231155779,0.98989898989899,199.0
Infiltration,0.26666666666666666,0.02040816326530612,0.037914691943127965,196.0
LDAP,0.3524904214559387,0.48936170212765956,0.40979955456570155,188.0
MSSQL,0.5314009661835749,0.46218487394957986,0.4943820224719101,238.0
NetBIOS,0.124,0.3147208121827411,0.17790530846484937,197.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.6554621848739496,0.36792452830188677,0.47129909365558914,212.0
TFTP,0.0,0.0,0.0,219.0
UDP,0.0,0.0,0.0,211.0
UDP-lag,0.0,0.0,0.0,180.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.34833333333333333,0.34833333333333333,0.34833333333333333,0.34833333333333333
macro avg,0.32657969307035545,0.3241008397567079,0.29825427784899355,4200.0
weighted avg,0.3573189667395357,0.34833333333333333,0.3246852824584722,4200.0
