,precision,recall,f1-score,support
BENIGN,0.06989247311827956,0.06532663316582915,0.06753246753246753,199.0
Bot,0.0,0.0,0.0,207.0
Brute Force,0.0,0.0,0.0,194.0
DDoS,0.0,0.0,0.0,209.0
DoS,0.0,0.0,0.0,193.0
DrDoS_DNS,0.10714285714285714,0.015306122448979591,0.026785714285714284,196.0
DrDoS_LDAP,0.13043478260869565,0.016042780748663103,0.02857142857142857,187.0
DrDoS_MSSQL,0.0,0.0,0.0,192.0
DrDoS_NTP,0.0,0.0,0.0,205.0
DrDoS_NetBIOS,0.0,0.0,0.0,192.0
DrDoS_SNMP,0.07598371777476255,0.25688073394495414,0.11727748691099477,218.0
DrDoS_SSDP,0.0,0.0,0.0,192.0
DrDoS_UDP,0.0,0.0,0.0,205.0
Infiltration,0.0,0.0,0.0,207.0
LDAP,0.0775716694772344,0.423963133640553,0.13114754098360656,217.0
MSSQL,0.0,0.0,0.0,192.0
NetBIOS,0.0,0.0,0.0,198.0
Syn,0.0,0.0,0.0,208.0
TFTP,0.0009560229445506692,0.0049261083743842365,0.0016012810248198558,203.0
UDP,0.0,0.0,0.0,192.0
UDP-lag,0.0,0.0,0.0,194.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.04,0.04,0.04,0.04
macro avg,0.02099916013938091,0.03556570510560742,0.016950723604955982,4200.0
weighted avg,0.022117019501801335,0.04,0.018662473040451454,4200.0
