,precision,recall,f1-score,support
BENIGN,0.09859154929577464,0.16587677725118483,0.12367491166077739,211.0
Bot,0.0,0.0,0.0,210.0
Brute Force,0.07926829268292683,0.06914893617021277,0.07386363636363637,188.0
DDoS,0.0,0.0,0.0,200.0
DoS,0.0,0.0,0.0,210.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,193.0
Fuzzers,0.0,0.0,0.0,195.0
Generic,0.0,0.0,0.0,186.0
Infiltration,0.06060606060606061,0.010471204188481676,0.017857142857142856,191.0
NetBIOS,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,203.0
Shellcode,0.0,0.0,0.0,213.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
macro avg,0.011355519170702957,0.011690329409994251,0.010256937661026505,2200.0
weighted avg,0.02149136977343467,0.022727272727272728,0.01972385649204634,2200.0
