,precision,recall,f1-score,support
BENIGN,0.005607476635514018,0.016304347826086956,0.008344923504867872,184.0
Bot,0.0,0.0,0.0,202.0
Brute Force,0.0,0.0,0.0,216.0
DDoS,0.0,0.0,0.0,197.0
DoS,0.0,0.0,0.0,187.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,222.0
Fuzzers,0.0,0.0,0.0,199.0
Generic,0.0,0.0,0.0,190.0
Infiltration,0.0,0.0,0.0,201.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,206.0
Shellcode,0.0,0.0,0.0,196.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
accuracy,0.0013636363636363637,0.0013636363636363637,0.0013636363636363637,0.0013636363636363637
macro avg,0.00028037383177570094,0.0008152173913043478,0.0004172461752433936,2200.0
weighted avg,0.00046898895497026334,0.0013636363636363637,0.0006979390567707675,2200.0
