,precision,recall,f1-score,support
BENIGN,0.9617486338797814,0.9887640449438202,0.9750692520775623,178.0
Bot,1.0,0.9902912621359223,0.9951219512195122,206.0
Brute Force,0.9789473684210527,0.9946524064171123,0.986737400530504,187.0
DDoS,1.0,1.0,1.0,218.0
DoS,1.0,0.9685863874345549,0.9840425531914894,191.0
Exploits,0.958139534883721,0.9809523809523809,0.9694117647058823,210.0
Fuzzers,0.9282051282051282,0.9282051282051282,0.9282051282051282,195.0
Generic,0.9408866995073891,0.9408866995073891,0.9408866995073891,203.0
Infiltration,0.9858490566037735,0.9766355140186916,0.9812206572769953,214.0
Reconnaissance,0.9658536585365853,0.9949748743718593,0.9801980198019802,199.0
Shellcode,0.9947368421052631,0.949748743718593,0.9717223650385605,199.0
accuracy,0.9740909090909091,0.9740909090909091,0.9740909090909091,0.9740909090909091
macro avg,0.9740333565584269,0.9739724947004956,0.9738741628686367,2200.0
weighted avg,0.974360420359934,0.9740909090909091,0.9740996900948109,2200.0
