,precision,recall,f1-score,support
BENIGN,0.1012514220705347,0.8811881188118812,0.1816326530612245,202.0
Bot,0.0,0.0,0.0,174.0
Brute Force,0.0,0.0,0.0,199.0
DDoS,0.0,0.0,0.0,212.0
DoS,0.009345794392523364,0.015384615384615385,0.011627906976744186,195.0
Exploits,0.0,0.0,0.0,196.0
Fuzzers,0.3176470588235294,0.12857142857142856,0.18305084745762712,210.0
Generic,0.2,0.02702702702702703,0.047619047619047616,185.0
Infiltration,0.0,0.0,0.0,208.0
Reconnaissance,0.0,0.0,0.0,203.0
Shellcode,0.0,0.0,0.0,216.0
accuracy,0.09681818181818182,0.09681818181818182,0.09681818181818182,0.09681818181818182
macro avg,0.057113115935144315,0.09565192634499566,0.038539132283149403,2200.0
weighted avg,0.05726413614442329,0.09681818181818182,0.0391851997974809,2200.0
