,precision,recall,f1-score,support
BENIGN,0.6666666666666666,0.04395604395604396,0.08247422680412371,182.0
Bot,0.0,0.0,0.0,184.0
Brute Force,0.0,0.0,0.0,182.0
DDoS,0.3175355450236967,0.3401015228426396,0.3284313725490196,197.0
DoS,0.0,0.0,0.0,215.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,232.0
Fuzzers,0.06666666666666667,0.0049261083743842365,0.009174311926605505,203.0
Generic,1.0,0.00510204081632653,0.01015228426395939,196.0
Infiltration,0.08888888888888889,0.6137566137566137,0.15528781793842034,189.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
Reconnaissance,0.10638297872340426,0.023809523809523808,0.038910505836575876,210.0
Shellcode,0.4752475247524752,0.22857142857142856,0.3086816720257235,210.0
Syn,0.0,0.0,0.0,0.0
accuracy,0.11181818181818182,0.11181818181818182,0.11181818181818182,0.11181818181818182
macro avg,0.1360694135360899,0.06301116410634802,0.046655609567221396,2200.0
weighted avg,0.2419834430755771,0.11181818181818182,0.08450330802217666,2200.0
