,precision,recall,f1-score,support
BENIGN,0.975,0.1902439024390244,0.3183673469387755,205.0
Bot,0.0,0.0,0.0,194.0
Brute Force,0.32051282051282054,0.2976190476190476,0.30864197530864196,168.0
DDoS,0.0,0.0,0.0,208.0
DoS,0.0,0.0,0.0,166.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,214.0
Fuzzers,0.0,0.0,0.0,207.0
Generic,0.0,0.0,0.0,208.0
Infiltration,0.00641025641025641,0.0048543689320388345,0.0055248618784530384,206.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,204.0
Shellcode,0.0,0.0,0.0,220.0
Syn,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.04090909090909091,0.04090909090909091,0.04090909090909091,0.04090909090909091
macro avg,0.048219373219373224,0.01824878959222633,0.02342719200466187,2200.0
weighted avg,0.11592803030303031,0.04090909090909091,0.05375239978239189,2200.0
