,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,183.0
Bot,0.0,0.0,0.0,184.0
Brute Force,0.0,0.0,0.0,192.0
DDoS,0.0,0.0,0.0,207.0
DoS,0.0,0.0,0.0,192.0
DrDoS_NTP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,197.0
Fuzzers,0.0,0.0,0.0,207.0
Generic,0.0,0.0,0.0,217.0
Infiltration,0.0,0.0,0.0,202.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,215.0
Shellcode,0.0,0.0,0.0,204.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,2200.0
weighted avg,0.0,0.0,0.0,2200.0
