,precision,recall,f1-score,support
BENIGN,0.08814432989690722,0.8300970873786407,0.15936626281453867,206.0
Bot,0.0,0.0,0.0,203.0
Brute Force,0.2987012987012987,0.25,0.27218934911242604,184.0
DDoS,0.0,0.0,0.0,197.0
DoS,0.0,0.0,0.0,185.0
Exploits,0.0,0.0,0.0,201.0
Fuzzers,0.0,0.0,0.0,191.0
Generic,0.0,0.0,0.0,197.0
Infiltration,0.13333333333333333,0.028985507246376812,0.047619047619047616,207.0
Reconnaissance,0.0,0.0,0.0,215.0
Shellcode,0.0,0.0,0.0,214.0
accuracy,0.10136363636363636,0.10136363636363636,0.10136363636363636,0.10136363636363636
macro avg,0.04728899653923084,0.10082569042045612,0.04356133268600112,2200.0
weighted avg,0.04578125950900084,0.10136363636363636,0.04216792419710192,2200.0
