,precision,recall,f1-score,support
BENIGN,0.181151832460733,0.9885714285714285,0.30619469026548674,175.0
Bot,0.0,0.0,0.0,211.0
Brute Force,0.0,0.0,0.0,198.0
DDoS,0.0,0.0,0.0,197.0
DoS,0.06060606060606061,0.0947867298578199,0.07393715341959335,211.0
Exploits,0.2826086956521739,0.7771739130434783,0.4144927536231884,184.0
Fuzzers,0.003861003861003861,0.004975124378109453,0.004347826086956522,201.0
Generic,0.05517241379310345,0.03864734299516908,0.045454545454545456,207.0
Infiltration,0.0,0.0,0.0,222.0
Reconnaissance,0.0,0.0,0.0,182.0
Shellcode,0.0,0.0,0.0,212.0
accuracy,0.15681818181818183,0.15681818181818183,0.15681818181818183,0.15681818181818183
macro avg,0.05303636421573407,0.17310495807690957,0.07676608807725185,2200.0
weighted avg,0.04940281859079147,0.15681818181818183,0.07078840035783192,2200.0
