,precision,recall,f1-score,support
BENIGN,0.21124620060790272,0.6714975845410628,0.3213872832369942,207.0
Bot,0.0,0.0,0.0,186.0
Brute Force,0.4461538461538462,0.3901345291479821,0.41626794258373206,223.0
DDoS,0.0,0.0,0.0,183.0
DoS,0.0,0.0,0.0,190.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,1.0,0.004739336492890996,0.009433962264150943,211.0
MSSQL,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
accuracy,0.18916666666666668,0.18916666666666668,0.18916666666666668,0.18916666666666668
macro avg,0.11049333645078326,0.07109143001212904,0.04980594587232515,1200.0
weighted avg,0.295183559348453,0.18916666666666668,0.13445457071997158,1200.0
