,precision,recall,f1-score,support
BENIGN,0.0912280701754386,0.27225130890052357,0.1366622864651774,191.0
Bot,0.0,0.0,0.0,188.0
Brute Force,0.0,0.0,0.0,187.0
DDoS,0.0,0.0,0.0,215.0
DoS,0.3090909090909091,0.0779816513761468,0.12454212454212454,218.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,201.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0575,0.0575,0.0575,0.0575
macro avg,0.026687931951089847,0.023348864018444694,0.017413627400486797,1200.0
weighted avg,0.07067198298777246,0.0575,0.04437723322086003,1200.0
