,precision,recall,f1-score,support
BENIGN,0.1696551724137931,0.6307692307692307,0.2673913043478261,195.0
Bot,0.0,0.0,0.0,190.0
Brute Force,0.18454935622317598,0.20772946859903382,0.19545454545454546,207.0
DDoS,0.0,0.0,0.0,191.0
DoS,0.0,0.0,0.0,207.0
DrDoS_DNS,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,210.0
LDAP,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,0.0
accuracy,0.13833333333333334,0.13833333333333334,0.13833333333333334,0.13833333333333334
macro avg,0.039356058737441,0.0931665221520294,0.05142731664470795,1200.0
weighted avg,0.059403729465739234,0.13833333333333334,0.07716699604743082,1200.0
