,precision,recall,f1-score,support
BENIGN,0.19326065411298315,0.8823529411764706,0.3170731707317073,221.0
Bot,0.0,0.0,0.0,180.0
Brute Force,0.0,0.0,0.0,205.0
DDoS,0.0,0.0,0.0,199.0
DoS,0.05454545454545454,0.04712041884816754,0.05056179775280899,191.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,204.0
Shellcode,0.0,0.0,0.0,0.0
accuracy,0.17,0.17,0.17,0.17
macro avg,0.027534012073159742,0.10327481778051534,0.04084832983161293,1200.0
weighted avg,0.04427398864762592,0.17,0.0664420617520782,1200.0
