,precision,recall,f1-score,support
BENIGN,0.12694063926940638,0.6714975845410628,0.21351766513056836,207.0
Bot,0.0,0.0,0.0,188.0
Brute Force,0.42857142857142855,0.05660377358490566,0.1,212.0
DDoS,0.0,0.0,0.0,212.0
DoS,0.0,0.0,0.0,196.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,185.0
Shellcode,0.0,0.0,0.0,0.0
accuracy,0.12583333333333332,0.12583333333333332,0.12583333333333332,0.12583333333333332
macro avg,0.06943900848010437,0.09101266976574605,0.03918970814132104,1200.0
weighted avg,0.0976115459882583,0.12583333333333332,0.05449846390168972,1200.0
