,precision,recall,f1-score,support
BENIGN,0.10047522063815342,0.774869109947644,0.1778846153846154,191.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,1.0,0.010256410256410256,0.02030456852791878,195.0
DrDoS_LDAP,0.0,0.0,0.0,195.0
DrDoS_MSSQL,0.0,0.0,0.0,219.0
DrDoS_NTP,0.96875,0.14351851851851852,0.25,216.0
DrDoS_NetBIOS,0.0,0.0,0.0,199.0
DrDoS_SNMP,0.0,0.0,0.0,202.0
DrDoS_SSDP,0.0,0.0,0.0,209.0
DrDoS_UDP,0.0,0.0,0.0,214.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,187.0
MSSQL,0.0,0.0,0.0,193.0
NetBIOS,0.0,0.0,0.0,175.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,188.0
TFTP,0.0,0.0,0.0,206.0
UDP,0.0,0.0,0.0,199.0
UDP-lag,0.20689655172413793,0.02830188679245283,0.04979253112033195,212.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0584375,0.0584375,0.0584375,0.0584375
macro avg,0.10346008056192234,0.043497542068864796,0.022635532501493912,3200.0
weighted avg,0.14603213628356393,0.0584375,0.03202855281216128,3200.0
