,precision,recall,f1-score,support
BENIGN,0.09090909090909091,0.3235294117647059,0.14193548387096774,204.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,208.0
DrDoS_LDAP,0.0,0.0,0.0,209.0
DrDoS_MSSQL,0.0,0.0,0.0,201.0
DrDoS_NTP,0.226890756302521,0.2571428571428571,0.24107142857142858,210.0
DrDoS_NetBIOS,0.0,0.0,0.0,184.0
DrDoS_SNMP,0.0,0.0,0.0,200.0
DrDoS_SSDP,0.0030959752321981426,0.0053475935828877,0.00392156862745098,187.0
DrDoS_UDP,0.0,0.0,0.0,207.0
LDAP,0.13247863247863248,0.45588235294117646,0.2052980132450331,204.0
MSSQL,0.0,0.0,0.0,190.0
NetBIOS,0.0,0.0,0.0,202.0
Syn,0.09848484848484848,0.13131313131313133,0.11255411255411256,198.0
TFTP,0.0,0.0,0.0,194.0
UDP,0.0,0.0,0.0,190.0
UDP-lag,0.0,0.0,0.0,212.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.075,0.075,0.075,0.075
macro avg,0.029045226495120577,0.06174817614446098,0.037093716150999635,3200.0
weighted avg,0.03540534430095189,0.075,0.04514990032209743,3200.0
