,precision,recall,f1-score,support
BENIGN,0.06337135614702155,0.9523809523809523,0.11883541295306001,210.0
Brute Force,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,199.0
DrDoS_LDAP,0.0,0.0,0.0,189.0
DrDoS_MSSQL,0.0,0.0,0.0,190.0
DrDoS_NTP,0.0,0.0,0.0,186.0
DrDoS_NetBIOS,0.0,0.0,0.0,199.0
DrDoS_SNMP,0.0,0.0,0.0,216.0
DrDoS_SSDP,0.0,0.0,0.0,184.0
DrDoS_UDP,0.0,0.0,0.0,215.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,221.0
MSSQL,0.0,0.0,0.0,199.0
NetBIOS,0.0,0.0,0.0,210.0
Syn,0.0,0.0,0.0,173.0
TFTP,0.0,0.0,0.0,217.0
UDP,0.0,0.0,0.0,209.0
UDP-lag,0.0,0.0,0.0,183.0
accuracy,0.0625,0.0625,0.0625,0.0625
macro avg,0.0033353345340537657,0.05012531328320802,0.006254495418582105,3200.0
weighted avg,0.00415874524714829,0.0625,0.007798573975044563,3200.0
