,precision,recall,f1-score,support
BENIGN,1.0,0.015306122448979591,0.03015075376884422,196.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,193.0
DrDoS_LDAP,0.11178247734138973,0.3645320197044335,0.17109826589595376,203.0
DrDoS_MSSQL,0.0,0.0,0.0,195.0
DrDoS_NTP,0.208,0.9952153110047847,0.34408602150537637,209.0
DrDoS_NetBIOS,0.003968253968253968,0.0053475935828877,0.004555808656036446,187.0
DrDoS_SNMP,0.0,0.0,0.0,192.0
DrDoS_SSDP,0.0,0.0,0.0,211.0
DrDoS_UDP,0.0,0.0,0.0,200.0
Exploits,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,183.0
MSSQL,0.0,0.0,0.0,195.0
NetBIOS,0.0,0.0,0.0,218.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.7142857142857143,0.06976744186046512,0.1271186440677966,215.0
TFTP,0.0,0.0,0.0,176.0
UDP,0.0,0.0,0.0,216.0
UDP-lag,0.92,0.10900473933649289,0.19491525423728814,211.0
accuracy,0.10125,0.10125,0.10125,0.10125
macro avg,0.11377063252289837,0.05996820107454012,0.03353556723581906,3200.0
weighted avg,0.1908116671761857,0.10125,0.05683313673359957,3200.0
