,precision,recall,f1-score,support
BENIGN,0.5381165919282511,0.6091370558375635,0.5714285714285714,197.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.06666666666666667,0.004975124378109453,0.009259259259259259,201.0
DrDoS_LDAP,0.0,0.0,0.0,189.0
DrDoS_MSSQL,0.0,0.0,0.0,179.0
DrDoS_NTP,0.19870009285051068,0.9907407407407407,0.33101314771848417,216.0
DrDoS_NetBIOS,0.010309278350515464,0.005,0.006734006734006734,200.0
DrDoS_SNMP,0.0,0.0,0.0,213.0
DrDoS_SSDP,0.0,0.0,0.0,194.0
DrDoS_UDP,0.0,0.0,0.0,222.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,203.0
MSSQL,0.0,0.0,0.0,167.0
NetBIOS,0.0,0.0,0.0,187.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.04878048780487805,0.009302325581395349,0.015625,215.0
TFTP,0.0,0.0,0.0,202.0
UDP,0.0,0.0,0.0,193.0
UDP-lag,0.6,0.013513513513513514,0.02643171806167401,222.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.1065625,0.1065625,0.1065625,0.1065625
macro avg,0.06648059625458282,0.07421221636596921,0.04365871378190889,3200.0
weighted avg,0.09627432787928988,0.1065625,0.061407936670695384,3200.0
