,precision,recall,f1-score,support
BENIGN,0.23573200992555832,0.4439252336448598,0.3079416531604538,214.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,193.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,204.0
Fuzzers,0.0,0.0,0.0,200.0
Generic,0.0,0.0,0.0,194.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,179.0
Shellcode,0.0,0.0,0.0,216.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.06785714285714285,0.06785714285714285,0.06785714285714285,0.06785714285714285
macro avg,0.010249217822850362,0.019301097114993903,0.013388767528715383,1400.0
weighted avg,0.03603332151719248,0.06785714285714285,0.04707108126881222,1400.0
