,precision,recall,f1-score,support
BENIGN,0.8798283261802575,1.0,0.9360730593607306,205.0
Brute Force,0.0,0.0,0.0,0.0
DoS,0.8333333333333334,0.12195121951219512,0.2127659574468085,205.0
Exploits,0.0,0.0,0.0,229.0
Fuzzers,0.0,0.0,0.0,199.0
Generic,0.38461538461538464,0.1,0.15873015873015872,200.0
Infiltration,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,167.0
Shellcode,0.18227848101265823,0.7384615384615385,0.2923857868020305,195.0
accuracy,0.2814285714285714,0.2814285714285714,0.2814285714285714,0.2814285714285714
macro avg,0.25333950279351486,0.2178236397748593,0.17777277359330312,1400.0
weighted avg,0.33118965780059384,0.2814285714285714,0.2316237561556951,1400.0
