,precision,recall,f1-score,support
BENIGN,0.3983739837398374,0.2648648648648649,0.3181818181818182,185.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,197.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,194.0
Fuzzers,0.0,0.0,0.0,224.0
Generic,0.0,0.0,0.0,208.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,191.0
Shellcode,0.0,0.0,0.0,201.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.035,0.035,0.035,0.035
macro avg,0.01659891598915989,0.011036036036036036,0.013257575757575758,1400.0
weighted avg,0.05264227642276423,0.035,0.042045454545454546,1400.0
