,precision,recall,f1-score,support
BENIGN,0.17905102954341987,0.9569377990430622,0.30165912518853694,209.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.2631578947368421,0.02702702702702703,0.049019607843137254,185.0
Exploits,0.0,0.0,0.0,200.0
Fuzzers,0.046875,0.03314917127071823,0.038834951456310676,181.0
Generic,0.7647058823529411,0.1319796954314721,0.22510822510822512,197.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,217.0
Shellcode,0.0,0.0,0.0,211.0
accuracy,0.1692857142857143,0.1692857142857143,0.1692857142857143,0.1692857142857143
macro avg,0.11398089151210936,0.10446306297929814,0.05587471905420091,1400.0
weighted avg,0.17516950680315707,0.1692857142857143,0.08820773655378371,1400.0
