,precision,recall,f1-score,support
BENIGN,0.14239218877135884,0.8883248730964467,0.24544179523141654,197.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.034013605442176874,0.025906735751295335,0.029411764705882353,193.0
Exploits,0.0,0.0,0.0,218.0
Fuzzers,0.0,0.0,0.0,197.0
Generic,0.0,0.0,0.0,194.0
Reconnaissance,0.0,0.0,0.0,190.0
Shellcode,0.0,0.0,0.0,211.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.12857142857142856
macro avg,0.017640579421353574,0.0914231608847742,0.027485355993729886,1400.0
weighted avg,0.02472563359878416,0.12857142857142856,0.03859178874916026,1400.0
