,precision,recall,f1-score,support
BENIGN,1.0,0.9953051643192489,0.9976470588235294,213.0
DoS,0.9726027397260274,0.9770642201834863,0.9748283752860412,218.0
Exploits,0.9701492537313433,0.9798994974874372,0.975,199.0
Fuzzers,0.9459459459459459,0.9358288770053476,0.9408602150537635,187.0
Generic,0.9518716577540107,0.967391304347826,0.9595687331536388,184.0
Reconnaissance,1.0,0.9898477157360406,0.9948979591836735,197.0
Shellcode,0.9950248756218906,0.9900990099009901,0.9925558312655087,202.0
accuracy,0.9771428571428571,0.9771428571428571,0.9771428571428571,0.9771428571428571
macro avg,0.9765134961113169,0.9764908269971967,0.9764797389665938,1400.0
weighted avg,0.9772274289621878,0.9771428571428571,0.9771636373799346,1400.0
