,precision,recall,f1-score,support
BENIGN,0.08120133481646273,0.3686868686868687,0.13309024612579762,198.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,205.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,200.0
Fuzzers,0.1111111111111111,0.005076142131979695,0.009708737864077669,197.0
Generic,0.21428571428571427,0.016304347826086956,0.030303030303030304,184.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,210.0
Shellcode,0.0,0.0,0.0,206.0
Syn,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.055,0.055,0.055,0.055
macro avg,0.020329908010664404,0.019503367932246767,0.00865510071464528,1400.0
weighted avg,0.05528237472222852,0.055,0.024171605477063433,1400.0
