,precision,recall,f1-score,support
BENIGN,0.2553191489361702,0.297029702970297,0.2745995423340961,202.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,229.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,201.0
Fuzzers,0.0,0.0,0.0,217.0
Generic,0.0,0.0,0.0,178.0
Infiltration,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,196.0
Shellcode,0.0,0.0,0.0,177.0
Syn,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286
macro avg,0.013437849944008958,0.01563314226159458,0.014452607491268216,1400.0
weighted avg,0.03683890577507599,0.04285714285714286,0.039620791108205294,1400.0
