,precision,recall,f1-score,support
BENIGN,0.04642409033877039,0.17703349282296652,0.073558648111332,209.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.1111111111111111,0.0053475935828877,0.01020408163265306,187.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,196.0
Fuzzers,0.0,0.0,0.0,195.0
Generic,0.0,0.0,0.0,191.0
LDAP,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,205.0
Shellcode,0.0,0.0,0.0,217.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.027142857142857142,0.027142857142857142,0.027142857142857142,0.027142857142857142
macro avg,0.007160690974994613,0.008290049382084282,0.0038073968065447756,1400.0
weighted avg,0.021771723327557703,0.027142857142857142,0.01234422908612465,1400.0
