,precision,recall,f1-score,support
BENIGN,0.16920609462710506,0.9634703196347032,0.2878581173260573,219.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.02564102564102564,0.0049261083743842365,0.008264462809917356,203.0
Exploits,0.0,0.0,0.0,198.0
Fuzzers,0.0,0.0,0.0,183.0
Generic,0.0,0.0,0.0,190.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,190.0
Shellcode,0.0,0.0,0.0,217.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.15142857142857144,0.15142857142857144,0.15142857142857144,0.15142857142857144
macro avg,0.016237260022344224,0.08069970233409061,0.02467688167799789,1400.0
weighted avg,0.030186616377474437,0.15142857142857144,0.046227581174871274,1400.0
