,precision,recall,f1-score,support
BENIGN,0.1447084233261339,0.995049504950495,0.2526712759270899,202.0
Bot,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,211.0
Exploits,0.0,0.0,0.0,191.0
Fuzzers,0.0,0.0,0.0,194.0
Generic,0.0,0.0,0.0,215.0
Infiltration,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,196.0
Shellcode,0.0,0.0,0.0,191.0
accuracy,0.14357142857142857,0.14357142857142857,0.14357142857142857,0.14357142857142857
macro avg,0.016078713702903768,0.11056105610561057,0.028074586214121098,1400.0
weighted avg,0.020879358222770747,0.14357142857142857,0.036456855526622964,1400.0
