,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,193.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,208.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
Exploits,0.012903225806451613,0.0091324200913242,0.0106951871657754,219.0
Fuzzers,0.0,0.0,0.0,198.0
Generic,0.0,0.0,0.0,193.0
Infiltration,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,207.0
Shellcode,0.0,0.0,0.0,182.0
Syn,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0014285714285714286,0.0014285714285714286,0.0014285714285714286,0.0014285714285714286
macro avg,0.0006144393241167435,0.0004348771472059143,0.0005092946269416857,1400.0
weighted avg,0.002018433179723502,0.0014285714285714286,0.0016730328495034377,1400.0
