,precision,recall,f1-score,support
BENIGN,0.8368200836820083,1.0,0.9111617312072893,200.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,202.0
Exploits,0.6537102473498233,0.9487179487179487,0.7740585774058577,195.0
Fuzzers,0.832258064516129,0.712707182320442,0.7678571428571429,181.0
Generic,0.7363636363636363,0.7751196172248804,0.7552447552447552,209.0
Infiltration,0.0,0.0,0.0,0.0
Reconnaissance,0.5135135135135135,0.6616915422885572,0.5782608695652174,201.0
Shellcode,0.9642857142857143,0.25471698113207547,0.40298507462686567,212.0
accuracy,0.6164285714285714,0.6164285714285714,0.6164285714285714,0.6164285714285714
macro avg,0.41245011451916586,0.39572302469853676,0.380869831900648,1400.0
weighted avg,0.6478721516370173,0.6164285714285714,0.5940466686731436,1400.0
