,precision,recall,f1-score,support
BENIGN,0.2746615087040619,0.7029702970297029,0.3949930458970793,202.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,178.0
Exploits,0.0,0.0,0.0,198.0
Fuzzers,0.0,0.0,0.0,224.0
Generic,0.0,0.0,0.0,196.0
Infiltration,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,178.0
Shellcode,0.0,0.0,0.0,224.0
accuracy,0.10142857142857142,0.10142857142857142,0.10142857142857142,0.10142857142857142
macro avg,0.02496922806400563,0.0639063906390639,0.0359084587179163,1400.0
weighted avg,0.039629731970157504,0.10142857142857142,0.05699185376515001,1400.0
