,precision,recall,f1-score,support
BENIGN,1.0,0.9852941176470589,0.9925925925925926,204.0
DoS,0.9588235294117647,0.8858695652173914,0.9209039548022598,184.0
Exploits,0.9389671361502347,0.9803921568627451,0.9592326139088729,204.0
Fuzzers,0.8693467336683417,0.8606965174129353,0.865,201.0
Generic,0.9336734693877551,0.8926829268292683,0.912718204488778,205.0
Reconnaissance,0.8755555555555555,0.9609756097560975,0.9162790697674419,205.0
Shellcode,0.9642857142857143,0.9593908629441624,0.9618320610687023,197.0
accuracy,0.9328571428571428,0.9328571428571428,0.9328571428571428,0.9328571428571428
macro avg,0.9343788769227668,0.9321859652385226,0.9326512138040925,1400.0
weighted avg,0.9339769674867241,0.9328571428571428,0.9327921621878388,1400.0
