,precision,recall,f1-score,support
BENIGN,1.0,1.0,1.0,18.0
DoS,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
Exploits,0.96,1.0,0.9795918367346939,24.0
Fuzzers,0.9,0.9473684210526315,0.9230769230769231,19.0
Generic,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
Reconnaissance,0.9,1.0,0.9473684210526315,18.0
Shellcode,1.0,0.9375,0.967741935483871,16.0
accuracy,0.95,0.95,0.95,0.95
macro avg,0.952108843537415,0.9519320782192635,0.9510146547969377,140.0
weighted avg,0.9514081632653062,0.95,0.9497098239638869,140.0
