,precision,recall,f1-score,support
BENIGN,1.0,1.0,1.0,18.0
DoS,1.0,1.0,1.0,22.0
Exploits,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Fuzzers,0.9,0.9473684210526315,0.9230769230769231,19.0
Generic,1.0,0.9565217391304348,0.9777777777777777,23.0
Reconnaissance,1.0,0.9444444444444444,0.9714285714285714,18.0
Shellcode,0.9411764705882353,1.0,0.9696969696969697,16.0
accuracy,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
macro avg,0.9713585434173669,0.9723811339944063,0.9714733679019394,140.0
weighted avg,0.972563025210084,0.9714285714285714,0.9716301159158302,140.0
