,precision,recall,f1-score,support
BENIGN,1.0,0.9444444444444444,0.9714285714285714,18.0
DoS,0.875,0.9545454545454546,0.9130434782608695,22.0
Exploits,0.782608695652174,0.75,0.7659574468085106,24.0
Fuzzers,0.7368421052631579,0.7368421052631579,0.7368421052631579,19.0
Generic,1.0,0.4782608695652174,0.6470588235294118,23.0
Reconnaissance,0.2857142857142857,0.1111111111111111,0.16,18.0
Shellcode,0.41025641025641024,1.0,0.5818181818181818,16.0
accuracy,0.7071428571428572,0.7071428571428572,0.7071428571428572,0.7071428571428572
macro avg,0.7272030709837182,0.7107434264184835,0.682306943872672,140.0
weighted avg,0.7481397743043706,0.7071428571428572,0.693050667008036,140.0
