,precision,recall,f1-score,support
BENIGN,1.0,1.0,1.0,18.0
DoS,1.0,1.0,1.0,22.0
Exploits,1.0,0.9583333333333334,0.9787234042553191,24.0
Fuzzers,0.9,0.9473684210526315,0.9230769230769231,19.0
Generic,0.9166666666666666,0.9565217391304348,0.9361702127659575,23.0
Reconnaissance,1.0,1.0,1.0,18.0
Shellcode,1.0,0.9375,0.967741935483871,16.0
accuracy,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
macro avg,0.9738095238095238,0.9713890705023428,0.9722446393688672,140.0
weighted avg,0.9727380952380953,0.9714285714285714,0.9717400650139154,140.0
