Model,Accuracy,F1 Score,Execution Time
RF_CICIDS2017_w_CICIDS2017,0.9814285714285714,0.9809978261100059,0.03945112228393555
k-NN_CICIDS2017_w_CICIDS2017,0.9492857142857143,0.9477914012023139,0.06675219535827637
LGBM_CICIDS2017_w_CICIDS2017,0.9814285714285714,0.980625330198826,0.0046024322509765625
RF_CICIDS2018_w_CICIDS2017,0.14142857142857143,0.03220503716273151,0.035697221755981445
k-NN_CICIDS2018_w_CICIDS2017,0.12571428571428572,0.035256410256410256,0.031752586364746094
LGBM_CICIDS2018_w_CICIDS2017,0.13071428571428573,0.03479163091969801,0.0028333663940429688
RF_CICIDS2019_w_CICIDS2017,0.0014285714285714286,0.0007739938080495355,0.04706692695617676
k-NN_CICIDS2019_w_CICIDS2017,0.004285714285714286,0.0024590163934426227,0.038056373596191406
LGBM_CICIDS2019_w_CICIDS2017,0.004285714285714286,0.002076124567474048,0.05522346496582031
RF_UNSW-NB15_w_CICIDS2017,0.1657142857142857,0.08092845382063574,0.051505088806152344
k-NN_UNSW-NB15_w_CICIDS2017,0.1957142857142857,0.07053229991625223,0.03164839744567871
LGBM_UNSW-NB15_w_CICIDS2017,0.11714285714285715,0.044295984149008455,0.033533334732055664
RF_CICIDS2017_CICIDS2018_w_CICIDS2017,0.12785714285714286,0.03944713478611783,0.03780341148376465
k-NN_CICIDS2017_CICIDS2018_w_CICIDS2017,0.095,0.0486644910078996,0.03482365608215332
LGBM_CICIDS2017_CICIDS2018_w_CICIDS2017,0.10857142857142857,0.03774941257897879,0.030003070831298828
RF_CICIDS2017_CICIDS2019_w_CICIDS2017,0.024285714285714285,0.007776061776061776,0.048583269119262695
k-NN_CICIDS2017_CICIDS2019_w_CICIDS2017,0.0064285714285714285,0.004020487651766989,0.04805326461791992
LGBM_CICIDS2017_CICIDS2019_w_CICIDS2017,0.055714285714285716,0.022827075988802598,0.06401371955871582
RF_CICIDS2017_UNSW-NB15_w_CICIDS2017,0.165,0.07075902449505803,0.03890228271484375
k-NN_CICIDS2017_UNSW-NB15_w_CICIDS2017,0.27214285714285713,0.19662913723850484,0.03185248374938965
LGBM_CICIDS2017_UNSW-NB15_w_CICIDS2017,0.16428571428571428,0.0836994173603382,0.04388880729675293
RF_CICIDS2018_CICIDS2019_w_CICIDS2017,0.047142857142857146,0.008086253369272238,0.04840493202209473
k-NN_CICIDS2018_CICIDS2019_w_CICIDS2017,0.002142857142857143,0.0008890205956437991,0.0429685115814209
